ID,var15_ratio,var_38_peak,var38_ratio,ind_comb_rank
1,0.00743678730788299,0,1.64737542900385,6
3,0.0644728005372733,0,1.40886421859448,-11
4,0.00743678730788299,0,1.13846533562528,-1
8,0.0670949321912919,0,1.1862503501012,0
10,0.0767494356659142,1,0.752668868331365,-12
13,0.00743678730788299,0,0.983998970815751,6
14,0.0335547011534429,0,0.899530849187046,-1
18,0.0247706422018349,0,0.417197160501582,-1
20,0.0833333333333333,0,0.838547403219801,6
23,0.0154138012805312,0,0.650781602456585,-3
25,0.0725604670558799,0,0.72094525201183,0
26,0.0247706422018349,0,1.07701409977899,6
29,0.085972850678733,0,0.721141615057398,-1
31,0.0798514391829155,0,0.738102785321681,-12
32,0.0580973129992738,0,0.899530849187046,3
34,0.0664634146341463,0,0.813359235651571,-1
36,0.0690978886756238,1,0.752668868331365,8
39,0.0627425614489004,0,0.648928863946229,0
42,0.0666666666666667,0,0.594299373268218,0
43,0.0556833870225495,0,0.887454516229772,-1
45,0.00743678730788299,0,1.12450328507762,6
49,0.0335547011534429,0,1.20814601549877,-1
51,0.05859375,1,0.752668868331365,-10
54,0.0734126984126984,0,1.25541155501461,-1
56,0.0725604670558799,1,0.752668868331365,6
60,0.0908396946564885,0,1.0641233665935,0
61,0.00743678730788299,0,1.01004643086778,6
66,0.0154138012805312,0,1.31156882593323,6
68,0.0110718870346598,0,1.64914442392741,-1
74,0.00743678730788299,0,0.72094525201183,-1
75,0,0,0.838547403219801,0
77,0.0561797752808989,0,1.20423497175804,6
80,0.0247706422018349,0,0.735562600825206,6
82,0.0154138012805312,0,1.25541155501461,0
83,0.0725604670558799,1,0.752668868331365,-3
84,0.00743678730788299,0,1.15437583190672,6
87,0.0767494356659142,0,1.41978128031474,6
88,0.0767494356659142,1,0.752668868331365,0
90,0.00743678730788299,0,1.48120215588874,-1
91,0.0110718870346598,0,1.07701409977899,-1
92,0.0735735735735736,0,0.772024819264353,8
93,0,0,0.651949437065066,-3
95,0.0154138012805312,0,0.887454516229772,-1
101,0.0110718870346598,0,1.32903653205685,-1
102,0.05,0,0.735562600825206,0
105,0.00743678730788299,0,0.956786286317389,6
106,0.00743678730788299,0,0.645721182107448,-3
107,0.0725604670558799,0,1.51012654078107,-6
109,0.0110718870346598,0,0.7426553365321,-1
111,0.090032154340836,0,0.465351308589795,6
113,0.0725604670558799,0,0.435941749600696,0
115,0,0,1.06942304458591,-3
118,0.0656934306569343,0,1.02114130413977,8
122,0.036697247706422,0,1.30657396644144,0
125,0.0247706422018349,0,1.31156882593323,-1
127,0.00743678730788299,0,1.13932324577147,0
130,0.0908396946564885,0,1.54991093955581,-1
131,0.0247706422018349,0,0.840420829600931,6
132,0.0494994438264739,0,0.838547403219801,-1
134,0.00743678730788299,0,0.623811366988125,-1
135,0.0705035971223022,0,0.672784004055815,0
136,0.0740740740740741,0,1.27613731824971,0
137,0.00743678730788299,0,1.42174066171087,6
139,0.0247706422018349,0,0.569256362801503,6
140,0.0154138012805312,0,0.594299373268218,-1
141,0.0776053215077605,0,0.881462460290439,6
142,0.0247706422018349,0,1.56094063715799,-1
143,0.00743678730788299,0,1.56446926036429,-1
144,0.00743678730788299,0,0.614304686602464,6
145,0.0110718870346598,0,1.64936042309472,6
146,0.00743678730788299,1,0.752668868331365,-1
148,0.0556833870225495,0,1.99365877295969,0
150,0.05859375,0,1.17138445656552,0
151,0.0110718870346598,0,1.35515220136082,-3
152,0.0154138012805312,0,0.651949437065066,6
153,0.085972850678733,0,1.56446926036429,-12
154,0.0491803278688525,1,0.752668868331365,8
155,0.0154138012805312,0,0.806299834101909,-1
156,0.00743678730788299,1,0.752668868331365,-1
157,0.0110718870346598,1,0.752668868331365,-1
159,0.0833333333333333,0,0.736024109359835,0
161,0.00743678730788299,0,0.58523724849959,6
162,0.0335547011534429,0,0.72094525201183,6
163,0.0627425614489004,0,0.420444896611464,-9
165,0.00743678730788299,0,0.679798952830093,-1
166,0.00743678730788299,0,0.579197663402431,6
169,0.0247706422018349,1,0.752668868331365,-1
170,0.00743678730788299,0,0.830396022937942,-1
171,0.0690978886756238,0,0.596471174872273,6
172,0.0384615384615385,1,0.752668868331365,-1
173,0,0,0.82138725027709,0
175,0.0154138012805312,0,1.45142383821043,-1
176,0.0154138012805312,0,1.03114285716505,-1
177,0.0491803278688525,1,0.752668868331365,0
178,0.00743678730788299,0,0.672784004055815,-1
179,0.0154138012805312,0,0.62141125927851,-1
180,0.00743678730788299,0,0.557922211301614,6
182,0.0776053215077605,0,2.1768517474943,6
183,0.0154138012805312,0,0.578276273844219,6
184,0.00743678730788299,0,0.614304686602464,-1
